,Lemma,POS,meaning_en
192531,daklozen,SPEC,
193183,dames,SPEC,
194570,dankzij,VZ,
195242,danste,SPEC,
195250,dansten,SPEC,
195550,dapperder,BW,
195552,dappere,SPEC,
196306,dart,SPEC,
196994,datgene,VNW,
197166,datums,SPEC,
197575,davert,SPEC,
198827,dc,SPEC,
198969,de,LID,"the (definite article, for de-woorden)"
200903,death,SPEC,
201471,december,SPEC,
201653,deco,SPEC,
202335,deer,SPEC,
202369,deert,SPEC,
202785,degenen,VNW,
202814,degens,SPEC,
203584,delft,SPEC,
203664,delicatessen,SPEC,
203693,delicten,SPEC,
204419,dementia,SPEC,
204564,democraten,SPEC,
204654,demonen,SPEC,
204869,demp,SPEC,
204998,dender,SPEC,
206021,deportaties,SPEC,
206130,deprimeert,SPEC,
206405,derden,SPEC,
206425,derdewereldlanden,SPEC,
206553,derhalve,BW,
206594,dermate,BW,
206750,dertienduizend,TW,
206792,dertigduizend,TW,
206880,desalniettemin,BW,
207343,desnoods,BW,
207353,desolate,SPEC,
207364,desondanks,BW,
207437,desperate,SPEC,
207506,desserts,SPEC,
207911,detectiveromans,SPEC,
208265,deuren,SPEC,
208422,deux,SPEC,
209094,dezen,VNW,
209608,diamanten,ADJ,
209610,diamanten,WW,
210293,dichtgegroeid,SPEC,
211251,diefstallen,SPEC,
211269,diegene,VNW,
211356,dien,SPEC,
211358,dien,VNW,
211374,dienaars,SPEC,
211492,dienstdoende,SPEC,
211697,dienstweigeraars,SPEC,
211797,diepgaand,ADJ,
211803,diepgaand,N,
211900,dieptepunten,SPEC,
212084,dieren,SPEC,
212430,dierenrechten,SPEC,
212503,dierentuinen,SPEC,
212619,dierlijke,SPEC,
212646,dies,SPEC,
212673,diesels,SPEC,
212874,different,SPEC,
213409,dikwijls,BW,
213630,dim,SPEC,
214094,dingetje,SPEC,
214608,diplomatieke,SPEC,
216345,dixieland,SPEC,
217390,dobermanns,SPEC,
217622,doch,VG,
217831,doctors,SPEC,
219024,does,SPEC,
219031,doet,SPEC,
219796,dolby,SPEC,
219800,dolce,SPEC,
219874,dolf,SPEC,
220615,dominicaanse,SPEC,
220619,dominicanen,SPEC,
220877,doms,SPEC,
221613,donaties,SPEC,
221691,donderdagen,SPEC,
221840,dong,SPEC,
222310,donors,SPEC,
222443,donuts,SPEC,
222687,dooddoeners,SPEC,
222764,doodgeschoten,SPEC,
222769,doodgeslagen,SPEC,
222794,doodgraag,BW,
223514,doodverklaard,SPEC,
223521,doodvermoeiend,ADJ,
223523,doodvermoeiend,WW,
224148,doordat,VG,
224150,doordat,VZ,
224282,dooreen,BW,
224355,doorgaans,BW,
224792,doorluchtige,SPEC,
225079,doorslaat,SPEC,
225490,doorvoed,ADJ,
225492,doorvoed,WW,
225691,doorzoek,SPEC,
225898,dopers,SPEC,
226798,dossiers,SPEC,
227101,douchemutsen,SPEC,
227527,dove,SPEC,
227728,downs,SPEC,
229240,dra,BW,
229481,draaiende,ADJ,
229483,draaiende,WW,
229601,draal,SPEC,
229898,dragons,SPEC,
229984,draken,SPEC,
230184,dram,SPEC,
230259,dramatischer,SPEC,
230698,dreadlocks,SPEC,
230844,dreigbrieven,SPEC,
230852,dreigementen,SPEC,
230868,dreigend,ADJ,
230872,dreigend,WW,
230874,dreigender,SPEC,
231436,driedaagse,SPEC,
231464,drieduizend,TW,
231553,driehonderd,TW,
231651,driemaal,BW,
231698,dries,SPEC,
231802,drieën,SPEC,
231804,drieën,TW,
231810,drieëndertig,TW,
231833,drieënnegentig,TW,
231837,drieëntwintig,TW,
231848,drieënveertig,TW,
231851,drieënvijftig,TW,
231854,drieënzestig,TW,
231859,drieënzeventig,TW,
231888,driftbuien,SPEC,
231900,drifters,SPEC,
232009,drijvers,SPEC,
232130,drink,SPEC,
232375,drives,SPEC,
233358,drop-out,SPEC,
233634,drugs,SPEC,
233857,drugshandelaren,SPEC,
234168,drugszaken,SPEC,
234402,drukbezette,SPEC,
234732,drummond,SPEC,
234842,drupt,SPEC,
234895,druïden,SPEC,
235552,dubloenen,SPEC,
236547,duinkerken,SPEC,
236600,duistere,SPEC,
236631,duisters,SPEC,
236884,duivelse,SPEC,
237065,duiven,SPEC,
237147,duizelingwekkend,ADJ,
237151,duizelingwekkend,WW,
237161,duizend,TW,
237401,dulcinea,SPEC,
238056,dunne,SPEC,
238062,dunner,SPEC,
238941,duurt,SPEC,
239330,dwarsgezeten,SPEC,
239427,dwaze,SPEC,
239519,dwergen,SPEC,
239687,dwing,SPEC,
239730,dwong,SPEC,
239935,dynamische,SPEC,
240341,déjà,SPEC,
241691,easy,SPEC,
242161,echte,SPEC,
242290,echtscheidingspapieren,SPEC,
243440,edele,SPEC,
243553,eden,SPEC,
244637,eeg,SPEC,
244777,een,LID,a/an (indefinite article)
245349,eendje,SPEC,
245393,eenenveertig,TW,
245401,eenenzeventig,TW,
245716,eentje,TW,
246016,eergisteren,BW,
246085,eerlijkheidshalve,BW,
246403,eerstgeborenen,SPEC,
246881,eeuwen,SPEC,
246898,eeuwig,ADJ,
246906,eeuwig,SPEC,
246908,eeuwig,WW,
246928,eeuwige,SPEC,
248048,eieren,SPEC,
248322,eigengemaakt,ADJ,
248325,eigengemaakt,WW,
248568,eikels,SPEC,
248588,eiken,ADJ,
248591,eiken,N,
248593,eiken,SPEC,
248668,eilanden,SPEC,
249336,eisenberg,SPEC,
250274,elders,BW,
250276,elders,SPEC,
251199,elfduizend,TW,
251202,elfen,SPEC,
251302,elfhonderd,TW,
252186,elkaar,BW,
252188,elkaar,SPEC,
252190,elkaar,VNW,
252392,ellen,SPEC,
252569,ellens,SPEC,
254489,emmers,SPEC,
254709,empire,SPEC,
255445,ene,BW,
255449,ene,TW,
255451,ene,VNW,
255845,enerzijds,BW,
255950,enge,SPEC,
256049,engelen,SPEC,
256253,engerds,SPEC,
256436,enigszins,BW,
256524,enkele,VNW,
256530,enkelen,VNW,
256603,enne,VG,
257215,enzovoort,BW,
257219,enzovoorts,BW,
257674,epoxy,SPEC,
257936,erachter,BW,
257938,erachter,VZ,
257955,eraf,BW,
258045,erbinnen,BW,
258083,erdoor,BW,
258089,erdoorheen,BW,
258103,ere,SPEC,
258170,erectieproblemen,SPEC,
258181,erectus,SPEC,
258414,erfde,SPEC,
258570,ergens,BW,
258572,ergens,SPEC,
258574,ergens,VNW,
258586,erger,SPEC,
258632,ergo,SPEC,
258915,erica,SPEC,
259336,erna,BW,
259338,erna,SPEC,
259351,ernaartoe,BW,
259357,ernaast,BW,
259639,eronder,BW,
259675,eropaf,BW,
259677,eropaf,SPEC,
259683,eropuit,BW,
259687,eros,SPEC,
259732,erover,BW,
259740,eroverheen,BW,
259818,ertegen,BW,
259826,ertegenin,BW,
259830,ertegenover,BW,
259870,ertussenin,BW,
259872,ertussenin,SPEC,
259874,ertussenin,VNW,
259897,eruit,BW,
259899,eruit,SPEC,
259901,eruit,VZ,
260133,ervoor,BW,
260135,ervoor,SPEC,
260137,ervoor,VZ,
260378,escape,SPEC,
260485,escorteert,SPEC,
260521,escorts,SPEC,
260798,espen,SPEC,
260904,esprit,SPEC,
260940,essays,SPEC,
260948,essen,SPEC,
260977,essentiële,SPEC,
261146,ester,SPEC,
262875,evacueer,SPEC,
263115,evangeliën,SPEC,
263348,evenals,VG,
263350,evenals,VZ,
263367,eveneens,BW,
263422,evenmin,BW,
263449,eventjes,BW,
263465,evenveel,BW,
263467,evenveel,TW,
263474,evenwel,BW,
263512,evenzeer,BW,
263514,evenzo,BW,
263520,ever,SPEC,
263627,evers,SPEC,
263655,everton,SPEC,
265179,excellenties,SPEC,
265258,exclusieve,SPEC,
265311,excuseer,SPEC,
265334,excuses,SPEC,
265426,executeurs,SPEC,
265636,exit,SPEC,
265858,experimenteer,SPEC,
265862,experimentele,SPEC,
266046,explosieven,SPEC,
266432,extraatje,SPEC,
266559,extreme,SPEC,
266862,ezeltje,SPEC,
268030,face,BW,
268032,face,SPEC,
268130,facto,SPEC,
268399,faillissementen,SPEC,
269612,familieproblemen,SPEC,
269841,familiezaken,SPEC,
270004,fancy,SPEC,
270159,fans,SPEC,
270425,fantasy,SPEC,
270459,fantomen,SPEC,
270737,farizeeërs,SPEC,
270794,farmaceutische,SPEC,
270842,farmers,SPEC,
270859,farms,SPEC,
271314,fata,SPEC,
271344,fatale,SPEC,
271434,fats,SPEC,
271658,faut,SPEC,
272420,februari,SPEC,
272949,feestje,SPEC,
273357,felbegeerd,ADJ,
